"object"	"observer"	"detected"	"distance"	"size"	"sex"	"exposure"
"226"	64	"2"	1	2.09	3	0	1
"123"	65	"1"	1	1.38	2	1	1
"227"	65	"2"	1	1.38	2	1	1
"124"	66	"1"	1	1.91	2	1	1
"228"	66	"2"	1	1.91	2	1	1
"125"	67	"1"	1	0.23	3	1	0
"229"	67	"2"	1	0.23	3	1	0
"126"	68	"1"	1	1.21	2	1	1
"230"	68	"2"	1	1.21	2	1	1
"127"	69	"1"	1	3.01	5	0	1
"231"	69	"2"	1	3.01	5	0	1
"128"	70	"1"	1	1.44	3	1	1
"232"	70	"2"	1	1.44	3	1	1
"129"	71	"1"	1	2.46	2	1	1
"233"	71	"2"	1	2.46	2	1	1
"130"	72	"1"	1	0.11	8	0	1
"234"	72	"2"	1	0.11	8	0	1
"131"	73	"1"	1	2.88	2	1	1
"235"	73	"2"	1	2.88	2	1	1
"132"	74	"1"	1	0.28	2	1	1
"236"	74	"2"	1	0.28	2	1	1
"133"	75	"1"	1	1.37	4	1	1
"237"	75	"2"	1	1.37	4	1	1
"134"	76	"1"	1	2.4	3	1	1
"238"	76	"2"	1	2.4	3	1	1
"135"	77	"1"	1	1.12	1	0	1
"239"	77	"2"	1	1.12	1	0	1
"136"	78	"1"	1	0.01	6	1	0
"240"	78	"2"	1	0.01	6	1	0
"137"	79	"1"	1	1.62	2	1	0
"241"	79	"2"	1	1.62	2	1	0
"138"	80	"1"	1	1.19	6	1	1
"242"	80	"2"	1	1.19	6	1	1
"139"	81	"1"	1	0.91	2	1	1
"243"	81	"2"	1	0.91	2	1	1
"140"	82	"1"	1	0.91	2	1	1
"244"	82	"2"	1	0.91	2	1	1
"141"	83	"1"	1	1.95	4	1	1
"245"	83	"2"	1	1.95	4	1	1
"142"	84	"1"	1	0.07	1	1	0
"246"	84	"2"	1	0.07	1	1	0
"143"	85	"1"	1	0.46	1	0	1
"247"	85	"2"	1	0.46	1	0	1
"144"	86	"1"	1	1.24	5	1	0
"248"	86	"2"	1	1.24	5	1	0
"145"	87	"1"	1	2.32	7	1	1
"249"	87	"2"	1	2.32	7	1	1
"146"	88	"1"	1	2.33	4	1	0
"250"	88	"2"	1	2.33	4	1	0
"147"	89	"1"	1	0.68	3	1	1
"251"	89	"2"	1	0.68	3	1	1
"148"	90	"1"	1	0.68	6	1	1
"252"	90	"2"	1	0.68	6	1	1
"149"	91	"1"	1	2.99	4	1	1
"253"	91	"2"	1	2.99	4	1	1
"150"	92	"1"	1	1.76	2	0	1
"254"	92	"2"	1	1.76	2	0	1
"151"	93	"1"	1	0.2	4	1	0
"255"	93	"2"	1	0.2	4	1	0
"152"	94	"1"	1	0.01	5	0	1
"256"	94	"2"	1	0.01	5	0	1
"153"	95	"1"	1	0.12	2	1	1
"257"	95	"2"	1	0.12	2	1	1
"154"	96	"1"	1	1.33	3	1	1
"258"	96	"2"	1	1.33	3	1	1
"155"	97	"1"	1	0.58	1	0	1
"259"	97	"2"	1	0.58	1	0	1
"156"	98	"1"	1	1.14	1	0	1
"260"	98	"2"	1	1.14	1	0	1
"157"	99	"1"	1	2.14	4	0	1
"261"	99	"2"	1	2.14	4	0	1
"158"	100	"1"	1	0.88	6	0	1
"262"	100	"2"	1	0.88	6	0	1
"159"	101	"1"	1	2.91	3	1	1
"263"	101	"2"	1	2.91	3	1	1
"160"	102	"1"	1	0.15	4	1	1
"264"	102	"2"	1	0.15	4	1	1
"161"	103	"1"	1	0.93	1	0	1
"265"	103	"2"	1	0.93	1	0	1
"162"	104	"1"	1	1.26	4	0	1
"266"	104	"2"	1	1.26	4	0	1
"163"	105	"1"	1	1.12	5	1	0
"267"	105	"2"	1	1.12	5	1	0
"164"	106	"1"	1	1.83	1	1	1
"268"	106	"2"	1	1.83	1	1	1
"165"	107	"1"	1	2.46	4	1	1
"269"	107	"2"	1	2.46	4	1	1
"166"	108	"1"	1	1.78	4	1	1
"270"	108	"2"	1	1.78	4	1	1
"167"	109	"1"	1	0.1	2	1	0
"271"	109	"2"	1	0.1	2	1	0
"168"	110	"1"	1	1.32	2	1	0
"272"	110	"2"	1	1.32	2	1	0
"169"	111	"1"	1	1.44	5	1	1
"273"	111	"2"	1	1.44	5	1	1
"170"	112	"1"	1	1.03	1	1	0
"274"	112	"2"	1	1.03	1	1	0
"171"	113	"1"	1	0.56	6	1	1
"275"	113	"2"	1	0.56	6	1	1
"172"	114	"1"	1	2.74	4	1	1
"276"	114	"2"	1	2.74	4	1	1
"173"	115	"1"	1	0.68	2	0	1
"277"	115	"2"	1	0.68	2	0	1
"174"	116	"1"	1	1.31	3	1	0
"278"	116	"2"	1	1.31	3	1	0
"175"	117	"1"	1	3.38	4	1	1
"279"	117	"2"	1	3.38	4	1	1
"176"	118	"1"	1	0.28	6	1	0
"280"	118	"2"	1	0.28	6	1	0
"177"	119	"1"	1	0.78	4	1	0
"281"	119	"2"	1	0.78	4	1	0
"178"	120	"1"	1	2.47	2	0	1
"282"	120	"2"	1	2.47	2	0	1
"179"	121	"1"	1	3.63	1	1	1
"283"	121	"2"	1	3.63	1	1	1
"180"	122	"1"	1	2.25	3	1	1
"284"	122	"2"	1	2.25	3	1	1
"181"	123	"1"	1	1.76	3	0	1
"285"	123	"2"	1	1.76	3	0	1
"182"	124	"1"	1	1.49	2	1	1
"286"	124	"2"	1	1.49	2	1	1
"183"	125	"1"	1	2.69	2	1	1
"287"	125	"2"	1	2.69	2	1	1
"184"	126	"1"	1	0.25	2	1	1
"288"	126	"2"	1	0.25	2	1	1
"185"	127	"1"	1	0.69	2	1	1
"289"	127	"2"	1	0.69	2	1	1
"186"	128	"1"	1	0.02	2	0	1
"290"	128	"2"	1	0.02	2	0	1
"187"	129	"1"	1	1.17	6	0	1
"291"	129	"2"	1	1.17	6	0	1
"188"	130	"1"	1	0.03	4	1	1
"292"	130	"2"	1	0.03	4	1	1
"189"	131	"1"	1	1.43	4	1	0
"293"	131	"2"	1	1.43	4	1	0
"190"	132	"1"	1	0.67	2	1	1
"294"	132	"2"	1	0.67	2	1	1
"191"	133	"1"	1	2.3	4	1	0
"295"	133	"2"	1	2.3	4	1	0
"192"	134	"1"	1	1.27	3	0	1
"296"	134	"2"	1	1.27	3	0	1
"193"	135	"1"	1	0.29	3	1	0
"297"	135	"2"	1	0.29	3	1	0
"194"	136	"1"	1	0.3	3	1	1
"298"	136	"2"	1	0.3	3	1	1
"195"	137	"1"	1	1.93	3	1	1
"299"	137	"2"	1	1.93	3	1	1
"196"	138	"1"	1	0.08	1	0	1
"300"	138	"2"	1	0.08	1	0	1
"197"	139	"1"	1	0.55	3	0	1
"301"	139	"2"	1	0.55	3	0	1
"198"	140	"1"	1	1.55	4	1	1
"302"	140	"2"	1	1.55	4	1	1
"199"	141	"1"	1	1.14	4	1	1
"303"	141	"2"	1	1.14	4	1	1
"200"	142	"1"	1	0.78	1	0	0
"304"	142	"2"	1	0.78	1	0	0
"201"	143	"1"	1	0.22	2	1	1
"305"	143	"2"	1	0.22	2	1	1
"202"	144	"1"	1	1.22	7	0	1
"306"	144	"2"	1	1.22	7	0	1
"203"	145	"1"	1	2.96	3	1	0
"307"	145	"2"	1	2.96	3	1	0
"204"	146	"1"	1	1	5	0	1
"308"	146	"2"	1	1	5	0	1
"205"	147	"1"	1	2.74	4	1	1
"309"	147	"2"	1	2.74	4	1	1
"206"	148	"1"	1	0.11	1	0	1
"310"	148	"2"	1	0.11	1	0	1
"207"	149	"1"	1	1.6	2	1	1
"311"	149	"2"	1	1.6	2	1	1
"208"	150	"1"	1	1.6	8	1	1
"312"	150	"2"	1	1.6	8	1	1
"209"	151	"1"	1	1.02	1	1	0
"313"	151	"2"	1	1.02	1	1	0
"210"	152	"1"	1	1.47	5	0	1
"314"	152	"2"	1	1.47	5	0	1
"211"	153	"1"	1	0.86	3	0	1
"315"	153	"2"	1	0.86	3	0	1
"212"	154	"1"	1	0.41	3	1	1
"316"	154	"2"	1	0.41	3	1	1
"213"	155	"1"	1	2.48	1	0	1
"317"	155	"2"	1	2.48	1	0	1
"214"	156	"1"	1	0.25	3	0	1
"318"	156	"2"	1	0.25	3	0	1
"215"	157	"1"	1	1.15	2	1	1
"319"	157	"2"	1	1.15	2	1	1
"216"	158	"1"	1	1	6	1	0
"320"	158	"2"	1	1	6	1	0
"217"	159	"1"	1	0.47	5	0	1
"321"	159	"2"	1	0.47	5	0	1
"218"	160	"1"	1	2.61	3	1	1
"322"	160	"2"	1	2.61	3	1	1
"219"	161	"1"	1	0.11	1	0	1
"323"	161	"2"	1	0.11	1	0	1
"220"	162	"1"	1	1.41	4	1	0
"324"	162	"2"	1	1.41	4	1	0
