object	observer	detected	distance	size	sex	exposure	distbegin	distend
66	1	1	1.91	2	1	1	1	2
66	2	1	1.91	2	1	1	1	2
67	1	1	0.23	3	1	0	0	1
67	2	1	0.23	3	1	0	0	1
68	1	1	1.21	2	1	1	1	2
68	2	1	1.21	2	1	1	1	2
69	1	1	3.01	5	0	1	3	4
69	2	1	3.01	5	0	1	3	4
70	1	1	1.44	3	1	1	1	2
70	2	1	1.44	3	1	1	1	2
71	1	1	2.46	2	1	1	2	3
71	2	1	2.46	2	1	1	2	3
72	1	1	0.11	8	0	1	0	1
72	2	1	0.11	8	0	1	0	1
73	1	1	2.88	2	1	1	2	3
73	2	1	2.88	2	1	1	2	3
74	1	1	0.28	2	1	1	0	1
74	2	1	0.28	2	1	1	0	1
75	1	1	1.37	4	1	1	1	2
75	2	1	1.37	4	1	1	1	2
76	1	1	2.4	3	1	1	2	3
76	2	1	2.4	3	1	1	2	3
77	1	1	1.12	1	0	1	1	2
77	2	1	1.12	1	0	1	1	2
78	1	1	0.01	6	1	0	0	1
78	2	1	0.01	6	1	0	0	1
79	1	1	1.62	2	1	0	1	2
79	2	1	1.62	2	1	0	1	2
80	1	1	1.19	6	1	1	1	2
80	2	1	1.19	6	1	1	1	2
81	1	1	0.91	2	1	1	0	1
81	2	1	0.91	2	1	1	0	1
82	1	1	0.91	2	1	1	0	1
82	2	1	0.91	2	1	1	0	1
83	1	1	1.95	4	1	1	1	2
83	2	1	1.95	4	1	1	1	2
84	1	1	0.07	1	1	0	0	1
84	2	1	0.07	1	1	0	0	1
85	1	1	0.46	1	0	1	0	1
85	2	1	0.46	1	0	1	0	1
86	1	1	1.24	5	1	0	1	2
86	2	1	1.24	5	1	0	1	2
87	1	1	2.32	7	1	1	2	3
87	2	1	2.32	7	1	1	2	3
88	1	1	2.33	4	1	0	2	3
88	2	1	2.33	4	1	0	2	3
89	1	1	0.68	3	1	1	0	1
89	2	1	0.68	3	1	1	0	1
90	1	1	0.68	6	1	1	0	1
90	2	1	0.68	6	1	1	0	1
91	1	1	2.99	4	1	1	2	3
91	2	1	2.99	4	1	1	2	3
92	1	1	1.76	2	0	1	1	2
92	2	1	1.76	2	0	1	1	2
93	1	1	0.2	4	1	0	0	1
93	2	1	0.2	4	1	0	0	1
94	1	1	0.01	5	0	1	0	1
94	2	1	0.01	5	0	1	0	1
95	1	1	0.12	2	1	1	0	1
95	2	1	0.12	2	1	1	0	1
96	1	1	1.33	3	1	1	1	2
96	2	1	1.33	3	1	1	1	2
97	1	1	0.58	1	0	1	0	1
97	2	1	0.58	1	0	1	0	1
98	1	1	1.14	1	0	1	1	2
98	2	1	1.14	1	0	1	1	2
99	1	1	2.14	4	0	1	2	3
99	2	1	2.14	4	0	1	2	3
100	1	1	0.88	6	0	1	0	1
100	2	1	0.88	6	0	1	0	1
101	1	1	2.91	3	1	1	2	3
101	2	1	2.91	3	1	1	2	3
102	1	1	0.15	4	1	1	0	1
102	2	1	0.15	4	1	1	0	1
103	1	1	0.93	1	0	1	0	1
103	2	1	0.93	1	0	1	0	1
104	1	1	1.26	4	0	1	1	2
104	2	1	1.26	4	0	1	1	2
105	1	1	1.12	5	1	0	1	2
105	2	1	1.12	5	1	0	1	2
106	1	1	1.83	1	1	1	1	2
106	2	1	1.83	1	1	1	1	2
107	1	1	2.46	4	1	1	2	3
107	2	1	2.46	4	1	1	2	3
108	1	1	1.78	4	1	1	1	2
108	2	1	1.78	4	1	1	1	2
109	1	1	0.1	2	1	0	0	1
109	2	1	0.1	2	1	0	0	1
110	1	1	1.32	2	1	0	1	2
110	2	1	1.32	2	1	0	1	2
111	1	1	1.44	5	1	1	1	2
111	2	1	1.44	5	1	1	1	2
112	1	1	1.03	1	1	0	1	2
112	2	1	1.03	1	1	0	1	2
113	1	1	0.56	6	1	1	0	1
113	2	1	0.56	6	1	1	0	1
114	1	1	2.74	4	1	1	2	3
114	2	1	2.74	4	1	1	2	3
115	1	1	0.68	2	0	1	0	1
115	2	1	0.68	2	0	1	0	1
116	1	1	1.31	3	1	0	1	2
116	2	1	1.31	3	1	0	1	2
117	1	1	3.38	4	1	1	3	4
117	2	1	3.38	4	1	1	3	4
118	1	1	0.28	6	1	0	0	1
118	2	1	0.28	6	1	0	0	1
119	1	1	0.78	4	1	0	0	1
119	2	1	0.78	4	1	0	0	1
120	1	1	2.47	2	0	1	2	3
120	2	1	2.47	2	0	1	2	3
121	1	1	3.63	1	1	1	3	4
121	2	1	3.63	1	1	1	3	4
122	1	1	2.25	3	1	1	2	3
122	2	1	2.25	3	1	1	2	3
123	1	1	1.76	3	0	1	1	2
123	2	1	1.76	3	0	1	1	2
124	1	1	1.49	2	1	1	1	2
124	2	1	1.49	2	1	1	1	2
125	1	1	2.69	2	1	1	2	3
125	2	1	2.69	2	1	1	2	3
126	1	1	0.25	2	1	1	0	1
126	2	1	0.25	2	1	1	0	1
127	1	1	0.69	2	1	1	0	1
127	2	1	0.69	2	1	1	0	1
128	1	1	0.02	2	0	1	0	1
128	2	1	0.02	2	0	1	0	1
129	1	1	1.17	6	0	1	1	2
129	2	1	1.17	6	0	1	1	2
130	1	1	0.03	4	1	1	0	1
130	2	1	0.03	4	1	1	0	1
131	1	1	1.43	4	1	0	1	2
131	2	1	1.43	4	1	0	1	2
132	1	1	0.67	2	1	1	0	1
132	2	1	0.67	2	1	1	0	1
133	1	1	2.3	4	1	0	2	3
133	2	1	2.3	4	1	0	2	3
134	1	1	1.27	3	0	1	1	2
134	2	1	1.27	3	0	1	1	2
135	1	1	0.29	3	1	0	0	1
135	2	1	0.29	3	1	0	0	1
136	1	1	0.3	3	1	1	0	1
136	2	1	0.3	3	1	1	0	1
137	1	1	1.93	3	1	1	1	2
137	2	1	1.93	3	1	1	1	2
138	1	1	0.08	1	0	1	0	1
138	2	1	0.08	1	0	1	0	1
139	1	1	0.55	3	0	1	0	1
139	2	1	0.55	3	0	1	0	1
140	1	1	1.55	4	1	1	1	2
140	2	1	1.55	4	1	1	1	2
141	1	1	1.14	4	1	1	1	2
141	2	1	1.14	4	1	1	1	2
142	1	1	0.78	1	0	0	0	1
142	2	1	0.78	1	0	0	0	1
143	1	1	0.22	2	1	1	0	1
143	2	1	0.22	2	1	1	0	1
144	1	1	1.22	7	0	1	1	2
144	2	1	1.22	7	0	1	1	2
145	1	1	2.96	3	1	0	2	3
145	2	1	2.96	3	1	0	2	3
146	1	1	1	5	0	1	1	2
146	2	1	1	5	0	1	1	2
147	1	1	2.74	4	1	1	2	3
147	2	1	2.74	4	1	1	2	3
148	1	1	0.11	1	0	1	0	1
148	2	1	0.11	1	0	1	0	1
149	1	1	1.6	2	1	1	1	2
149	2	1	1.6	2	1	1	1	2
150	1	1	1.6	8	1	1	1	2
150	2	1	1.6	8	1	1	1	2
151	1	1	1.02	1	1	0	1	2
151	2	1	1.02	1	1	0	1	2
152	1	1	1.47	5	0	1	1	2
152	2	1	1.47	5	0	1	1	2
153	1	1	0.86	3	0	1	0	1
153	2	1	0.86	3	0	1	0	1
154	1	1	0.41	3	1	1	0	1
154	2	1	0.41	3	1	1	0	1
155	1	1	2.48	1	0	1	2	3
155	2	1	2.48	1	0	1	2	3
156	1	1	0.25	3	0	1	0	1
156	2	1	0.25	3	0	1	0	1
157	1	1	1.15	2	1	1	1	2
157	2	1	1.15	2	1	1	1	2
158	1	1	1	6	1	0	1	2
158	2	1	1	6	1	0	1	2
159	1	1	0.47	5	0	1	0	1
159	2	1	0.47	5	0	1	0	1
160	1	1	2.61	3	1	1	2	3
160	2	1	2.61	3	1	1	2	3
161	1	1	0.11	1	0	1	0	1
161	2	1	0.11	1	0	1	0	1
162	1	1	1.41	4	1	0	1	2
162	2	1	1.41	4	1	0	1	2
